餐廳名稱,消費時間,餐廳區域,餐廳地址,營業時間,電話,平均價位,推薦菜色
有時候紅豆餅,2017/10月,台北,台北市松山區延壽街399號,12:00 - 18:30 (週一公休),,,
& FOMO COFFEE,2018年/1月,台北,台北市大安區大安路一段125號,一~五 08:00~19:00 六 日 08:30~20:00,02-87731255,,
巴合奈野,2018年/2月,台北,台北市中正區羅斯福路二段81巷16弄5號,08:00~17:00 週一休,02-23635078,,
阿亮餃子館,2017年/7月,台北,台北市中正區中華路二段309巷15號,11:00–23:00,0927 516 682,,
郭記牛肉麵,2018年/3月,台北,台北市中正區汀州路二段152號,11:30-14:00 ; 17:00-20:00 ( 週六公休 ),02 2369 8114,,
日本商品展(新光三越-南西店) 2017/9/30 ~ 2017/10/10,2017年/10月,台北,台北市中山區南京西路12號9F,,02 2568 2868,,
三井料理美術館,2018年/2月(兩次),台北,台北市敦化南路一段108號地下一樓(富邦大樓B1),,02-27413397,,
麵屋牛一雞骨高湯牛肉麵,2018年/03月,台北,台北市敦化南路1段151號1樓,2:00-22:00（最後點餐21:30,02- 2752-1552,,
El Pastorcillo cafe 小牧羊人,106年/11月,台北,台北市敦化北路167號1樓 (宏國大樓內),7:30 - 17:30 (周末公休),0966-669-986,,
Wood&Pot,2017年/10月,台北,111台北市士林區天母北路68-1號,12:00-21:00 (11:30即可入座)，每週二、三公休,02-28772838,,
通堂拉麵 統一時代店,2017年/11月,台北,110台北市信義區忠孝東路五段8號,週日到週四11:00–21:30；週五週六11:00–22:00,02 2345 8111,,
串場Kushi Bar,2018年/1月,台北,台北市大安區忠孝東路四段223巷52號,18:00-01:30,02-27719693,,
Jungle Plan,2018年/3月,台北,台北市中正區信陽街5號,週一～週日 10：00～18：00,2370-2727,,
雅室牛排,2017年/12月,台北,台北市大安區安和路一段49巷10號,,,,
大阪王將/松山車站店,106年/10月,台北,台北市信義區永吉里松山路11號,平假日11:00-22:00,,,
wins美式炸物專賣,2018年/1月,台北,台北市文山區景後街89號,18：00~23：30,無,,
GONTRAN CHERRIER,2018年/1月,台北,台北市大安區忠孝東路四段302號,08:00-20:00,02-27795002,,
 la mole taipei義大利餐酒館, 2018年/1月,台北,台北市中山區建國北路二段151巷12號,,(02)2516-6028,,
廚燒臘店,2018 年/ 3 月,台北,台北市內湖區江南街121號,10:30~20:00 (週日公休),02 2657 6751,,
迎客松,2017年/11月,台北,台北市中山區農安街166巷1號1樓,,02-2515-1496,,
海底撈火鍋(京站店),2018年/01月,台北,台北市大同區承德路一段1號4樓,11:00–03:00,02-2559-0125,,
這一小鍋,2017年/11月,台北,台北市松山區市民大道六段131號3樓（CITYLINK松山貳號店3樓）,11：00-22：00,(02)2747-2525,,
すき家Sukiya 芝山店,2018年/2月,台北,台北市士林區福國路52號,24H,02 2552 8700,,
Hera Cafe,2018年/1月,台北,台北市大同區承德路二段一巷7號,週一～週三、週五～週日 12：00～21：00(週四公休),,,
撈王鍋物料理,2017 年/10月,台北,台北市信義區松壽路12號9樓(標題內文皆請附上地區),,02-77370773,,
まるみち丸道燒肉,2017年/12月,台北,台北市大安區忠孝東路4段170巷6弄5號,一~五 17:30~00:00  六~日 11:30~14:30 17:30~00:00 周二休,02-27113086,,
曬太陽洋食小館,2017年/11月,台北,台北市中山區中山北路二段96巷15號,11:30~20:30,(02) 2523-0350,,
你後面咖啡廳,2017年/12月,台北,台北市文山區木柵路三段48巷1弄2號1樓,11:00–18:00 (周一公休),02 2234 5755,,
MUME,2017年/8月,台北,台北市大安區四維路28號,18:00–23:00,（02）2700 0901,,
海霸王 台北 中山店,106年/12月,台北,台北市中山區中山北路三段59號,, 02-25963141,,
一町壽司居酒屋,2018年/1月,台北,台北市中山區中山北路一段83巷18-2號,PM5:30~AM1:00 (周一休),,,
Galerie Bistro,2017年8月6日,台北,台北市大同區南京西路25巷2號,每天 11:00~22:00,(02) 2558-0096,,
心地日常-台北店,2017年/9月,台北,台北市大同區赤峰街49巷6號,12:00~20:00，週二公休,02 2558 8695,,
西門金鋒魯肉飯,2018年/3月,台北,台北市萬華區昆明街89號,,,每人平均價位：NT$100,
李記正客家魷魚羹,2018/01,台北,台北市中正區汀州路三段289號,06:50 ~ 19:30,(02) 2367-0525,,
建忠牛肉麵店,2018年/1月,台北,台北市信義區莊敬路423巷8弄2號1樓（信義國中斜對面）,星期二-星期日 早上11:30-14:30 / 晚上17:00- 21:30,,每人平均價位：80元,
一風堂 中山本店,2017年/10月,台北,台北市中山區中山北路一段85號1樓 ( 近捷運中山站 ),11:30 - 24:00,02-2562-9222,,
小凱悅南村小吃店,106年/12月,台北,台北市信義區莊敬路178巷12號,12:00~14:30 17:20~22:00(週日公休）,02-8789-3628,,
台北美福大飯店Grand Mayfull Hotel Taipei,107年/2月,台北,104台北市中山區樂群二路55號,,02 7722 3399,每人平均價位：不一定,
精靈寶可夢主題餐廳,2017年/11月,台北,台北市萬華區武昌街二段77號2樓,11:30~22:30,(02) 23816328,,
Mark's Teppanyaki,2017年/10月,台北,台北市中山區樂群二路199號2樓,午餐12:00-14:30、晚餐18:00-22:00,02-21757952,,
雞二拉麵,2017/10,台北,台北市大安，信義安和站附近,,,,
品樂廚房,2017年/2月,台北,台北市北投區義理街59號,AM11:00~PM2:00  PM5:00~PM8:00 (周日休),,,
神牛炭火日式燒肉/大直店,106年/12月,台北,台北市中山區北安路627號,平日17:00-00:00 假日11:30-00:00(下午休息),02-25326660,,
hot 7 新鐵板料理 樂福桂林店,2018年/2月,台北,108台北市萬華區桂林路1號四樓,"11:30–14:30, 17:30–22:00",02 2383 1199,,
乾杯列車 台北總站,2018/01,台北,台北市中正區北平西路3號2F 微風台北車站,10:00 ~ 22:00,(02) 2361-8000,,
泰豬鍋,2017年/12月,台北,台北市大安區大安路一段31巷3號,18:00 – 01:00,02-2771-7131,,
串炸達摩,2018/03,台北,台北市中山區長安東路一段15號,,,,
東石鮮蚵,2018年/2月,台北,台北市大同區延平北路三段50號,早上11:30~下午02:00；下午04:30~晚上10:00,(02)25956267,,
張記鍋貼牛肉麵,2017/11,台北,台北市中正區衡陽路79-1號,11:00 ~ 14:30; 17:30 ~ 20:30,(02) 2388-6482,,
台北東方文華酒店,2018年/3月,台北,台北市松山區敦化北路158號,,,,
福珍排骨酥麵,2017 年/ 11 月,台北,台北市大同區華陰街42之13號,11：00~20：00(週日公休),02-2555-3337,,
墨子 I Mozi,2018年/1月,台北,台北市忠孝東路四段216巷32弄10號,（週日、週一、週三、週四）12:00-02:00,02 8773 7273,,
幹嘛Qué Pasa西班牙餐酒館,2017年/10月,台北,台北市大稻埕民樂街18號,週一~週四 11:00-22:00、週五～週六 11:00-0:00,02 2559 2100,,
真芳碳烤吐司 民生店,2017年/11月,台北,台北市中山區民生東路二段129號1樓,,02-2523-9466,,
福鼎湯包,2018年/2月,台北,台北市文山區興隆路三段112巷2弄13號,07:00~21:30,02-29317338,,
Isaac Eatalian cuisine 義式料理廚房,2017年/12月,台北,台北市南港區南港路一段295號,11:30 - 14:30，17:30 - 22:00,(02)2783-3838,,
橫濱家系拉麵特濃屋,2018年/3月,台北,台北市中山區中山北路二段77巷22號,11:00-15:00、17:00-22:00(周一公休),02 2522 2808,,
咖朵咖啡 Caldo Cafe,2017/10,台北,10691台北市大安區敦化南路一段190巷16-1號,平常日11:00 ~ 22:00；例假日10:00 ~ 22:00, 02 2721 8895,,
大橋頭米糕,1991年/7月(記憶中的夏天),台北,台北市大同區延平北路三段41號,0800-1600,02-2594-4685,,
建中黑砂糖刨冰,2017年/10月,台北,台北市中正區牯嶺街45號,AM8:00~PM8:00,,,
小楊豬血湯,,台北,台北市大同區昌吉街47號,,,,
無印良品Cafe MUJI A11店,2017/10,台北,110台北市信義區松壽路11號號 3 樓,,,,
咚咚家dondonga韓式豬肉專賣,2017/12,台北,台北市大安區光復南路280巷29號,12:00-14:30；17:30-22:00,02-2731-3466,,
秀蘭小館,2018年/3月,台北,台北市大安區信義路二段198巷5-5號,11:30～14:30 17:30～21:00,02-23943908,,
土司工坊,2017.3,台北,台北市信義區松壽路18號1樓,AM11:00~PM23:30,02-27234729,,
總督西餐廳,2018年/1月,台北,台灣台北市大安區忠孝東路四段104號,上午11:30到晚下午22:00,02 2752 3981,,
 和Nagomi Pasta,,台北, 110台灣台北市信義區逸仙路50巷20號,,,,
Rilakkuma拉拉熊茶屋,2017年/10月,台北,台北市中山區中山北路二段20巷23號（捷運中山站4號出口步行3分鐘）,週一到週日9：00-22：00（最後點餐時間為21：00）,02-2543-3030,,
建宏牛肉麵,2018年3月,台北,台北市萬華區西寧南路7號,24H,02-2371-2747,,
紀香無骨炸雞,2018 03,台北,台北市內湖區內湖路三段95號,週一到週六 16:30-23:20 周日休,,每人平均價位：台幣30+,
了凡香港油雞飯‧麵Hawker Chan Taiwan,2017 年/ 9 月,台北,台北市中正區忠孝西路一段36號,11:00~22:00,02-2311-8078,,
Lazy Point,2017年/11月,台北,台北市內湖區洲子街78號,,02-87515509,每人平均價位：1250,
MUME,2017年/12月,台北,台北市大安區四維路28號,18:00–23:00,(02)27000901,,
點點心,2018年/2月,台北,台北市信義區忠孝東路五段68號B1（微風信義內）,11:00-21:30,02-23450509,,
雞吉君拉麵,2018年/1月,台北,台北市內湖區環山路一段33號,17:30–20:00 休週一,02 8797 8978,,
巧之味手工水餃(濟南店),2018年/02月,台北,台北市中正區濟南路二段6號,11:00–21:00(星期日公休),02-23214693,,
五之神製作所,2017年/12月,台北,台北市信義區忠孝東路四段553巷6弄6號,AM11:00~PM3:00  PM5:00~PM9:00 (周二休),,,
阿枝早點,2017 年/ 12 月,台北,台北市內湖區安泰街53巷16號,06:00~12:30,02-2631-3502,,
 敲敲咖非,2018年/1月,台北,台北市士林區天母北路4巷5-1號,周一~周日 10:00~22:00,(02) 2876-4899,,
梁記嘉義雞肉飯,2017年/11月,台北,台北市中山區松江路90巷19號,10:00~20:00 六日公休,02-256-4671,,
粥鮮味,2018年1月,台北,店家地址：台北市士林區美崙街63號,(02)  2833-6363,店家電話：(02)  2833-6363,,
麵家三士,2017年/11月,台北,台北市信義區松壽路12號（ATT信義店5樓）,,02-6615-8828,,
錦州美食,2017/9,台北,台北市中山區錦州街243號,11:00~14:00、16:00~21:00,02 2503 8543,,
紅牛原味炭烤牛排,2017/9,台北,台北市中山區合江街61巷1號,周一至周日,02 2509 9911,,
誠鵝肉專賣,2017年/12月,台北,台北市文山區木柵路二段191號,11:30–20:30 (周二公休),02 2936 2172,,
菁串蔬食串燒,2018年2月,台北,台北市文山區忠順街一段35號,週一、週三、週四、週五 17:00–23:45（週二公休）,0960 587 545,,
彼儂甜點 Binome Dessert,2017/10,台北,台北市中山區民權東路2段92巷8弄24號,周四至周日12:00-19:00,無,,
一日樂食,2017/10,台北,台北市南京東路四段133巷4弄5號,,02 2545 5648,每人平均價位：150,
若荷蔬食火鍋,2017年/11月,台北,台北市大安區敦化南路一段160巷58號1樓,,02-2752-0838,,
Morton's The Steakhouse - Taipei 台北莫爾頓牛排,106/05,台北,台北市信義區忠孝東路五段68號45樓『信義微風天際薈』,11:30-23:00,02-2723 7000,,
薄多義 義式手工披薩,2017年/8月,台北,台北市信義區松壽路12號5F,,02-7737-8837,,
KUA'AINA,2018年/2月,台北,台北市信義區忠孝東路五段68號４樓 (微風信義),週日~週三11:00~21:30 週四~週六~22:00,02-2723-2035（可電話預約取餐）,,
小巷亭日本料理,2017/10,台北,台北市大同區南京西路250巷8號,11:30 ~ 21:30; 禮拜二公休,(02) 2555-2386,,
老陳涼麵,2018年/1月,台北,台北市文山區景美街5巷2-1號,17:00–00:00,(02)2934-9700,,
撈王鍋物料理,2017年/12月,台北,台北市信義區松壽路12號9樓,11：00 → 00：00,02 7737 0773,,
22:02 火鍋。樂活 南港店(CITYLINK 南港車站),2017年/8月,台北,台北市南港區忠孝東路七段369號C棟10F (CITYLINK 南港車站),"11:00–14:30, 17:00–21:30",02-2785-2202,,
有木之森,2017年/11月,台北,台北市大同區迪化街一段46巷26號,10:30~18:30,02-25566866,,
韓式烤肉終結王jihwaja,,台北,台北市大安區敦化南路一段190巷16號,,(02)2778-8669,,
光點珈琲時光,2017年/11月,台北,台北市中山區中山北路二段18號1樓,,,每人平均價位：400,
佳坊小館,2017 12,台北,台北市內湖區內湖路二段414號,11:00-21:00 下午休息 週日公休,02 2795 4080,,
吽炸居酒屋（炸牛排專賣店）,2018年/02月,台北,106台北市大安區忠孝東路四段223巷75號1樓,（週日～週四）17:00-00:00,02 8773 2412,,
品黑巧克力專賣店,107年/1月,台北, 台北市大安區信義路四段30巷52號,10:00~22:00,02-2755 - 6006,,
coffee & work,2017年/10月,台北,台北市松山區民生東路四段55巷3弄14號,10:00-22:00（平日10:00-19:00僅開放會員）,02 2545 3210,,
金鍋鑄鐵鍋,2017/6、2017/9,台北,台北市大安區復興南路一段295巷25號1樓,17:30-00:00,(02)2703-1777,,
魚庄,2017年/10月,台北,台北市中山區中山北路一段83巷24號,,02-25318611,每人平均價位：900,
Field 小田食光,2018年/1月,台北,台北市中山區中山北路二段27巷3-3號,週一至週五11:30-21:00；週六及週日10:00-21:00,02-25112638,,
Woosa屋莎鬆餅屋京站店,2017年/11月,台北,台北市大同區承德路一段1號2樓,,02-2559-4846,,
君悅大飯店 雲錦廳,2017年/11月,台北,台北市信義區松壽路2號2樓,,,,
裘莉早餐屋,2017 10,台北,台北市內湖區內湖路一段343之1號,07:00-13:00 周日休,02 2627 1267,,
蘭亭和牛,2018年/2月,台北,台北市大安區四維路52巷12號,,02-27030285,每人平均價位：2000-3000,
丼屋魚金,2017年/12月,台北,台北市中山區敬業三路20號 B1,11:00-22:00,,每人平均價位：200元,
火鍋106-粵式豬肚煲鍋,2018年/3月,台北,114台北市內湖區港墘路119號,11:30-22:00,02-26275383,,
滇味廚房,2017年/11月,台北,台北市信義區永吉路30巷178弄2號,11:00~14:30 17:00~21:00 週二公休,02-2766-5027,,
MUI MUI,2018年/2月,台北,台北市大安區光復南路308巷38號,,0227417139,,
Hello Kitty Shabu Shabu,2018年/01月,台北,台北市松山區南京東路四段 47 號,11:30 ~ 22:00,(02) 2546-1680,,
讚岐本家烏龍麵,2017年7月,台北,台北市松山區復興北路141巷21號,,(02)2547-2232,,
台北君悅酒店BAGUETTE禮品烘焙坊,2017年/11月,台北,台北市信義區松壽路2號,上午8:00AM-下午8:00PM,27201200分機3164,,
高雄肉圓許,2017年/10月,台北,台北市松山區新東街16巷2號,10:00~19:00 週二公休,02-2762-4626,,
佐藤精肉店 akiba,2017 年/ 11月,台北,台北市中正區八德路一段82巷9弄8號,"11:30~14:00, 17:00~20:30",02-2356-3036,,
好日子早午餐,2018/1,台北,台北市松山區民生東路三段84號-1,6:00~14:00（週六週日營業至15:00）,02-2501-9596,,
松果院子,2018年/3月,台北,台北市松山區富錦街449號,11:00-21:00,02 2765 0386,,
台北市士林區大北路7號,2017年/11月,台北,台北市士林區大北路7號,16:00–23:00,02 2881 8366,,
陝西肉夾饃,,台北,台北市北投區光明路31號(康是美前),,,,
花酒蔵,2017年/10月,台北,台北市大安區安和路一段33號（近忠孝敦化站）,,02-2731-9266,,
點水樓 南京店,2018年3月,台北,台北市松山區南京東路四段61號,11:30-14:30 17:00-22:00,02-8712-6689,,
燈亮有餅 - 忠誠山東蔥油餅,2018 年/ 1 月,台北,台北市北投區公館路7號,09:30~19:30,02-2897-2877,,
太陽蕃茄拉麵,2018年/2月,台北,台北市中山區敬業三路20號 (美麗華百貨地下B1),11:00~22:00,,,
串殿,2017 年/ 12 月,台北,台北市信義區永吉路194號,11:30-14:00，17:00~23:00(週五晚到01:00，週六日全天),02-2765-0903,,
風來坊,2018年/3月,台北, 104台北市中山區錦州街200號,, 02-25425882,每人平均價位：300,
里長伯麻辣臭豆腐,2018年/1月,台北,台北市大同區寧夏路寧夏夜市,17~00,,,
神戶かつ丼吉兵衛,2017年/08月,台北, 台北市信義區松壽路22號1樓,11: 00~21:00 (週一公休),,每人平均價位：$200-300,
台菜二世祖之台北鄉民宴@松山奉天宮,2017年/12月,台北,台北市信義區福德街221巷12號,,,每人平均價位：1300,
 My味,2017年/12月,台北, 10491台北市中山區松江路330巷1號,, 02 2563 2852,每人平均價位：220,
鮨天本,2017年/11月,台北,台北市信義區仁愛路4段371號,18：00-22：00 六日加開午場,02-27751239,,
上官木桶鍋-源自蘆洲正官火鍋店,2017年/8月,台北,105台北市松山區敦化北路244巷51號,11:00–00:00,(02) 2545-5030,,
鍋董 石牌店,2017/9,台北,台北市北投區實踐街41.43號,11:30–隔日01:30,02-28200909,,
憨人灶咖,2017年/12月,台北,台北市中山區民生東路三段84-2號,不確定,0225172297,,
找午倉,2018年/3月,台北,台北市北投區大度路三段296巷42號 (關渡捷運站1號出口),周日~周四 08:00-16:00 周五~周六 08:00-20:00 (周一公休),無,,
哈古小館,2018年2月,台北,台北市松山區富錦街469號,,,,
Moooon River Cafe & Books,2017年/12月,台北,台北市內湖區瑞光路218號1樓,,,,
CHANTEZ Pâtisserie 穿石,2017/12,台北,台北市大安區濟南路三段31號,12:00-21:00,02-27786865,,
MA C SO YO,2017年/07月,台北,台北市中正區羅斯福路四段 52 巷 6 號,11:30~15:30、17:00~22:00,02-2367-5606,,
上順興香Ｑ飯糰,2018年/1月,台北,台北市大安區忠孝東路四段205巷7弄巷口,06:00-13:30,0933-029584,,
真芳碳烤吐司紅茶牛奶 (民生店),2017 年/ 11 月,台北,台北市中山區民生東路二段129號,06:30~13:30/07:30~13:30(六日),02-2523-9466,,
老李牛雜,2017/12,台北,台北市大安區安和路二段59巷8號,11:00 ~ 22:00; 禮拜日公休,(02) 2704-3270,,
醐同燒肉夜食五號店,2017年/8月,台北,台北市信義區松壽路22號2樓,,02-2723-8838,,
框影咖啡 THE WHO CAFE,2017年/12月,台北,台北市信義區莊敬路214號,11:00 am ~ 09:00 pm,02-2758-6512,,
Bellini Pasta Pasta 台北信義威秀店,2018年/3月,台北,台北市信義區松壽路20號2樓 (信義威秀),11:30 AM – 10:00 PM,02-2758-6096,,
 Table by yoji tokuyoshi,106年/10月,台北,台北市市府路45號5樓,12:00 - 15:00 、 18:00 - 22:00,0281018177,,
逢香豆腐鍋,2017年/8月,台北,台北市信義區莊敬路206號,11:00 am ~ 02:00 pm、05:00 pm ~ 08:20 pm (週日公休),02-2345-4536,,
Mina創意廚房,2017年/12月,台北,台北市北投區崇仁路一段77號 (捷運-奇岩站),08:00–20:00,(02) 28982958,,
赤神日式豬排,2018年元月,台北,台北市中山區復興北路48號,,(02)2752-7908,每人平均價位：250+10%,
Hana Bi はなび 日式Tapas居酒屋 釜飯專門店,2017年/11月,台北,台北市中山區中山北路二段20巷1之3號,週日到週四: 11:30-14:00、18:00-10:30(最後點餐時間),02 2511 9358,,
Maple Tree House 楓樹韓國烤肉,2018年/1月,台北,台北市信義區光復南路585號(光復基隆路口),12:00-00:00,02 8780 9222,,
洪樓小館,2017年/12月,台北,台北市士林區德行西路25號,,,每人平均價位：200,
小林海產,2017年/12月,台北,台北市大安區光復南路574-1號,17:00~01:00，週日公休,(02)2325-4930,,
但馬家,2017年/7月,台北,台北市松山區敦化北路166號5樓,"11:30–14:30, 17:30–23:00",02 2712 1606,,
棧直火廚房,2017年/10月,台北,台北市中山區中山北路一段73號,,,,
天鍋宴3.0 大直分店,2018年/1月,台北, 10491台北市中山區樂群三路53號1F,11:30~23:30,02-8501-1337,,
寒舍艾麗酒店,2017年/12月,台北,台北市信義區松高路18號六樓,下午茶15:00-17:00,66318066,,
博多天麩羅 山海,2017/12,台北,台北市信義區忠孝東路五段8號(統一時代B2),11:00-21:00,02-2723-1885,,
Just Grill 牛排館,2017年/9月,台北,台北市信義區松高路11號 (誠品信義店6樓),,02-8786-6099,,
Mani mani,2017年/12月,台北,台北市大安區敦化南路一段233巷19號（近忠孝敦化站）,,02-2771-2569,,
鍋饕精緻涮涮鍋,2017年/12月,台北,台北市中山區大直街13號（大直站1號出口，右轉2分鐘就到，大直國小斜對面）,週一~週五11:00~14:00 17:00~22:00,02-8509-1668,,
Grilled Sendwish格里歐,2017年8月,台北,台北市延吉街137巷31號1樓（國父紀念館站1號出口步行3分鐘就會到了！）,週一至週六9:00-20:00、週日9:30-19:..,02-27780662,,
湧在湯包,107年/3月,台北,台北市內湖區文德路22巷44弄74號,週一～週五12:30～19:30,0226576536,,
山茶花鐵板燒,2018年/2月,台北,台北市中山區明水路672巷38號,12:00 - 14:30 、 18:00 - 22:00,(02) 8502-0852,,
禾崧牛排屋,2017年/11月,台北,台北市中山區錦西街22號,,(02) 2562-7009,,
KATZ Fusion Restaurant 卡司複合式餐廳 台北內湖店,2017/11,台北,台北市內湖區洲子街83號,11:30~14:00；17:30~21:30（最後點餐20:30),02-2658-6966,,
北斗肉圓,2018年/2月,台北,台北市松山區八德路四段709巷,15:00~22:30,,,
琉球新麵通堂,2017年/10月,台北,台北市信義區忠孝東路五段8號,11:00–22:00,02 2345 8111,,
小食泰,2017年/9月,台北,台北市松山區敦化北路238巷29號,週一至週四11:30-14:30｜17:30-20:30、,02 2712 1099,,
有肉Succulent x Coffee Sind 療癒系多肉植物咖啡廳,2018年/3月,台北,台北市大安區四維路76巷19號1樓 （大安捷運站）,11:00am ~ 21:00pm,02-2701-7257,,
元浜日本豚骨拉麵,2017年/11月,台北,台北市大安區復興南路二段193巷5號,11:30–14:00；17:00–21:30,02-22501548,,
Heritage Bakery & Cafe,2017年/11月,台北,台北市中正區漢口街一段73號之2,10:30~20:00,02-23111079,,
911 Just Do Eat,2018年/1月,台北,台北市文山區久康街8號,06:30–15:30 (周四公休),02 8661 8611,,
頤宮中餐廳,2018年/4月,台北,台北市大同區承德路一段3號17樓,11:30-14:30 17:30-21:30,02-2181-9950#3261,,
北大荒水餃店,2018.02,台北,台北市南港區南港路一段201號,11:00~21:30,02 2788 0455,,
無刺虱目魚,2017年/6月,台北,台北市文山區興隆路二段301巷2號,11:00 - 14:00 ; 17:00 - 21:00 (週一公休),02 2935 3030,,
驥園川菜餐廳,,台北,台北市大安區敦化南路一段324號,11:30~14:00，17:30~21:00,(02)2708-3110,,
點點心,2017年/10月,台北,台北市中正區北平西路3號2F（台北車站微風二樓）,,02-2388-6811,,
幸呼蕎麥麵,2017年/8月,台北,台北市大安區光復南路260巷34號,11:30 - 14:30；17:30 - 21:30,02 8771 0296,,
劉山東牛肉麵,2018年/3月,台北,100台北市中正區開封街一段14巷2號,08:00-20:00(周日公休), 02 2311 3581,,
BeApe 百花猿法國餐酒館,2017年/10月,台北,104台北市中山區中山北路二段72巷1號2樓,11:00–22:00,,,
MiaCucina,2017年/10月,台北,台北市中山區南京西路14號（新光三越二館2樓，近捷運中山站）,,02-2522-2438,,
來來水餃店,2017年/8月,台北,台北市中正區中華路二段309巷9號,,,,
川賀燒烤居酒屋,2017年/11月,台北,台北市中山區合江街92號,一~六 18:00-01:00(出菜至23:30),02-25169957,,
打鐵町49番地,2017年/12月,台北,台北市大同區赤峰街49巷25號,18:00–02:00, 02 2559 9077,,
fly's kitchen,2018年/1月,台北,台北市大安區大安路一段16巷4號,,02 2775 3277,,
呼搭啦生蠔孜然串燒屋,2017/10,台北,台北市內湖區瑞光路111號,週一到週六 17:30-00:30,02-2793-1239,,
義村高雄羊肉爐,2017/12/30,台北,台北市萬華區萬大路336號,周一~周日 16:00-02:00,,每人平均價位：$300上下,
一五一食時尚鮮鍋 (高島屋百貨店),2018年/01月,台北,台北市士林區忠誠路二段55號B1,,02-2835-5677,,
找餐店,2017年/11月,台北,台北市和平東路三段一巷6之3號,08:00–14:00,02 2755 0567,,
泰街頭二店泰國船麵專賣店,2017年/10月,台北,台北市大安區新生南路三段68-2號,"週一～週五 11:30~15:00, 17:00~21:00",02 2369 0227,,
GYUU NIKU ステーキ專門店,2017年/11月,台北,台北市信義區忠孝東路五段412之6號(近捷運永春站),午11:30-14:00 晚17:00-22:00,02-87800002,,
GYUU NIKU ステーキ專門店,2017年/12月,台北,台北市信義區忠孝東路五段412之6號,,02-8780-0002,,
馬辣頂級麻辣鴛鴦火鍋(信義店),2017年/11月,台北,台北市信義區松壽路22號3樓（威秀影城旁、NEO19 3樓）,午餐 AM 11:30 ~ PM 16:00,(02)2720-5726,,
山花日式料理,2017年/11月,台北,台北市大安區信義路四段311號,,02 2703 0504,每人平均價位：3300元,
BOKA,2017/10,台北,台北民生社區,,,,
趙記菜肉餛飩大王,2017年/10月,台北,台北市中正區桃源街5號,,,,
月鹿 柴小鮮燒肉,2018年8月,台北,台北市南昌路二段216號,11:30-14:30 17:00-23:45,房0223682008,,
燒肉石松五十三次,2017年9月,台北,台北市松山區南京東路三段303巷10號,,(02)2547-2322,每人平均價位：800-1000,
夏慕尼新香榭鐵板燒,2017年/12月,台北,台北市大安區忠孝東路四段333號2樓,,02-27766877,,
DiVino Taipei,2018年/3月,台北,台北市大安區安和路二段71巷15號,PM6:00~PM10:30 (周一二休),0903-998030,,
胡同大媽(公館店),2017年/11月,台北,台北市中正區羅斯福路三段316巷11號,11:30~14:30、17:30~21:30,(02) 2362-2038,,
大師兄 銷魂麵舖,2018年/2月,台北,台北市大安區延吉街137巷6-1號,11:30~14:30 17:30~21:00, 02-2711-6806,,
山嵐拉麵,2017年/09月,台北,106台北市大安區大安路一段51巷29號,11:30–14:3017:30–21:00,,每人平均價位：260up,
休習日 Z Day Cafe,2017年/10月,台北,台北市大安區樂業街41巷2號,11:30~21:00,02-23780602,,
乾杯燒肉居酒屋,2017年/10月,台北,台北市南港區經貿二路186-1號 (中國信託金融園區C棟),週一至週日11:30-15:00、17:00-22:30,(02)2786-6066,,
蜂鳥食堂,2017年/10月,台北,遠企1號店 - 台北市大安區四維路170巷38號,,,,
山丼,2017年/12月,台北,台北市士林區中正路185號,"平日11:30–14:30, 17:00–21:00 假日11:00–21:00",02-2883-2419,,
 響響INPARADISE,,台北,美食地址: 台北市信義區忠孝東路五段68號46樓 (捷運市政府站3號出口), 11:30-14:00 14:30-16:30 17:30-21:30,訂位電話: 02-8780-9988 (建議先訂位喔 不然就是衝到現場訂位),,
Maple Tree House 楓樹韓國烤肉,2017年/9月,台北,台北市信義區光復南路585號(光復基隆路口),12:00-15:30  18:00-23:00 周五及周六營業至23:45,02 8780 9222,,
鳳城燒臘茶餐廳,2017/7,台北,台北市中山區錦州街438號,11:00 – 21:00,02 2518 5001,,
TEXAS 德州鮮切牛排,2017年/11月,台北,105台北市松山區民生東路三段156號,11:00–22:00、週五/六至 23:00,02 2718 3011,,
德州美墨炸雞 天母,2017年/10月,台北,台北市士林區中山北路六段752號,週二-週日11：00~22：00(週一休),02-28767532,,
重熙老麵,2018年/1月,台北,台北市中正區廣州街8巷7號,12:00-14:30  17:30-21:30(完售即打烊) 周日公休,02 2371 8707,,
飯BAR MINI,2017/12,台北,台北市大安區忠孝東路四段104號2F,平日 11:30~14:30、17:30~21:30,(02)2776-5188,,
泰鄉食坊,2018 01,台北,台北市內湖區麗山街348巷14號1樓,11:30-14:00/17:30-20:30 週六公休,02 8797 1959,,
國手肉骨茶,2017年/9月,台北,10491台北市中山區復興北路510號,"週一到週六 11:30–14:30, 17:00–20:30",,,
施福建好吃雞肉,2017/10,台北,台北市萬華區環河南路一段25巷2號,10:00 ~ 18:00; 禮拜日公休,(02) 2388-3817,,
Hurray Sports Club,2018年03月,台北,店家地址：台北市中山區復興北路276號,11：30～1：00,店家電話：02 2503 5528,,
糖水間,2017 年/ 12 月,台北,台北市內湖區內湖路一段591巷5號,11:00~22:00,02-2797-3188,,
2017的Gambero Rosso(紅蝦評鑑)公布之後，看看台灣上榜的餐廳，撇開榜上的梅蒂,2017年/7月~2018年/2月 (至少六訪,台北,台北市中山區建國北路二段151巷12號,,(02)2516-6028,,
